"id","stratum","stratum_N","weight"
"W2070748491","french",233170,310.893333333333
"W2995267627","french",233170,310.893333333333
"W4237668310","french",233170,310.893333333333
"W7000753315","french",233170,310.893333333333
"W2938258758","french",233170,310.893333333333
"W2022665067","french",233170,310.893333333333
"W2329707761","french",233170,310.893333333333
"W2064517429","french",233170,310.893333333333
"W568214204","french",233170,310.893333333333
"W2035236894","french",233170,310.893333333333
"W3087347370","french",233170,310.893333333333
"W7162165093","french",233170,310.893333333333
"W1721678341","french",233170,310.893333333333
"W2065620303","french",233170,310.893333333333
"W4314446218","french",233170,310.893333333333
"W7051991590","french",233170,310.893333333333
"W7019086784","french",233170,310.893333333333
"W7039175297","french",233170,310.893333333333
"W2112448928","french",233170,310.893333333333
"W3198904824","french",233170,310.893333333333
"W7033674715","french",233170,310.893333333333
"W2899420979","french",233170,310.893333333333
"W2031848193","french",233170,310.893333333333
"W1571091816","french",233170,310.893333333333
"W3164637536","french",233170,310.893333333333
"W2263420188","french",233170,310.893333333333
"W7124819050","french",233170,310.893333333333
"W7036491689","french",233170,310.893333333333
"W4391427909","french",233170,310.893333333333
"W4384957339","french",233170,310.893333333333
"W3161458123","french",233170,310.893333333333
"W6990996472","french",233170,310.893333333333
"W1538665933","french",233170,310.893333333333
"W6930436200","french",233170,310.893333333333
"W4299558177","french",233170,310.893333333333
"W6922172840","french",233170,310.893333333333
"W2136582537","french",233170,310.893333333333
"W34938879","french",233170,310.893333333333
"W4231824596","french",233170,310.893333333333
"W2932228513","french",233170,310.893333333333
"W4400530322","french",233170,310.893333333333
"W4408826471","french",233170,310.893333333333
"W2965645529","french",233170,310.893333333333
"W3186880727","french",233170,310.893333333333
"W2943287168","french",233170,310.893333333333
"W7020525334","french",233170,310.893333333333
"W4313175724","french",233170,310.893333333333
"W7017875606","french",233170,310.893333333333
"W7019017673","french",233170,310.893333333333
"W7049401217","french",233170,310.893333333333
"W2908594995","french",233170,310.893333333333
"W3211935527","french",233170,310.893333333333
"W7125374003","french",233170,310.893333333333
"W1489521614","french",233170,310.893333333333
"W2041165583","french",233170,310.893333333333
"W2795334916","french",233170,310.893333333333
"W2789167949","french",233170,310.893333333333
"W4255048748","french",233170,310.893333333333
"W6967427296","french",233170,310.893333333333
"W2337651531","french",233170,310.893333333333
"W7133411978","french",233170,310.893333333333
"W7066969584","french",233170,310.893333333333
"W4384213045","french",233170,310.893333333333
"W4232388698","french",233170,310.893333333333
"W2915518988","french",233170,310.893333333333
"W4404034332","french",233170,310.893333333333
"W4398204110","french",233170,310.893333333333
"W7165078619","french",233170,310.893333333333
"W7002282105","french",233170,310.893333333333
"W4390786712","french",233170,310.893333333333
"W2005297823","french",233170,310.893333333333
"W7104295034","french",233170,310.893333333333
"W2128164678","french",233170,310.893333333333
"W6945111878","french",233170,310.893333333333
"W3172714003","french",233170,310.893333333333
"W7057819277","french",233170,310.893333333333
"W2147696711","french",233170,310.893333333333
"W2950298299","french",233170,310.893333333333
"W7065339308","french",233170,310.893333333333
"W4401469438","french",233170,310.893333333333
"W2975509941","french",233170,310.893333333333
"W2807828706","french",233170,310.893333333333
"W2341023267","french",233170,310.893333333333
"W2096664671","french",233170,310.893333333333
"W4415871648","french",233170,310.893333333333
"W6993264056","french",233170,310.893333333333
"W4317762425","french",233170,310.893333333333
"W4393929599","french",233170,310.893333333333
"W2119039154","french",233170,310.893333333333
"W7134341585","french",233170,310.893333333333
"W2785216221","french",233170,310.893333333333
"W7065187948","french",233170,310.893333333333
"W2948135780","french",233170,310.893333333333
"W6982367364","french",233170,310.893333333333
"W2178033489","french",233170,310.893333333333
"W2756945311","french",233170,310.893333333333
"W2800589176","french",233170,310.893333333333
"W2769793754","french",233170,310.893333333333
"W3113156813","french",233170,310.893333333333
"W2618817421","french",233170,310.893333333333
"W6955013338","french",233170,310.893333333333
"W1834165176","french",233170,310.893333333333
"W348342421","french",233170,310.893333333333
"W134528663","french",233170,310.893333333333
"W6981510632","french",233170,310.893333333333
"W1611645936","french",233170,310.893333333333
"W2011342169","french",233170,310.893333333333
"W7039196877","french",233170,310.893333333333
"W3003181780","french",233170,310.893333333333
"W1966427392","french",233170,310.893333333333
"W4391154213","french",233170,310.893333333333
"W4205174581","french",233170,310.893333333333
"W2267548044","french",233170,310.893333333333
"W7011299548","french",233170,310.893333333333
"W2144940020","french",233170,310.893333333333
"W3135964898","french",233170,310.893333333333
"W7067071139","french",233170,310.893333333333
"W2537889207","french",233170,310.893333333333
"W4247875684","french",233170,310.893333333333
"W3000887652","french",233170,310.893333333333
"W1481146015","french",233170,310.893333333333
"W7011185721","french",233170,310.893333333333
"W2488796856","french",233170,310.893333333333
"W7001840469","french",233170,310.893333333333
"W4375859679","french",233170,310.893333333333
"W2607119422","french",233170,310.893333333333
"W6967760685","french",233170,310.893333333333
"W3137520843","french",233170,310.893333333333
"W4401988693","french",233170,310.893333333333
"W2107046370","french",233170,310.893333333333
"W2256262284","french",233170,310.893333333333
"W7027723959","french",233170,310.893333333333
"W4399015951","french",233170,310.893333333333
"W187779645","french",233170,310.893333333333
"W1516189379","french",233170,310.893333333333
"W2900491918","french",233170,310.893333333333
